#N     sum_up	        sum_down          rel_error
2.000000e+00    7.1494787931442261e-01    7.1494781970977783e-01    -6.7355475425720215e+00
2.3010299956639813e+00    7.6923197507858276e-01    7.6923191547393799e-01    -6.7898316383361816e+00
2.6020599913279625e+00    8.1756079196929932e-01    8.1756073236465454e-01    -6.6620693206787109e+00
2.9030899869919438e+00    8.6108350753784180e-01    8.6108332872390747e-01    -6.2796235084533691e+00
3.2041199826559250e+00    9.0065592527389526e-01    9.0065586566925049e-01    -6.9212555885314941e+00
3.5051499783199058e+00    9.3692994117736816e-01    9.3692970275878906e-01    -6.2585597038269043e+00
3.8061799739838871e+00    9.7040981054306030e-01    9.7040939331054688e-01    -6.0367670059204102e+00
4.1072099696478688e+00    1.0014940500259399e+00    1.0014940500259399e+00    -7.0220937728881836e+00
4.4082399653118500e+00    1.0305013656616211e+00    1.0305019617080688e+00    -5.8750104904174805e+00
4.7092699609758304e+00    1.0577006340026855e+00    1.0576939582824707e+00    -4.8182258605957031e+00
5.0102999566398116e+00    1.0832781791687012e+00    1.0832828283309937e+00    -4.9703416824340820e+00
5.3113299523037929e+00    1.1074014902114868e+00    1.1074481010437012e+00    -3.9690594673156738e+00
5.6123599479677742e+00    1.1306197643280029e+00    1.1303398609161377e+00    -3.1908469200134277e+00
5.9133899436317554e+00    1.1518273353576660e+00    1.1520816087722778e+00    -3.2323865890502930e+00
6.2144199392957367e+00    1.1751110553741455e+00    1.1727814674377441e+00    -2.2704906463623047e+00
6.5154499349597179e+00    1.1876245737075806e+00    1.1925793886184692e+00    -1.9427654743194580e+00
6.8164799306236992e+00    1.1876245737075806e+00    1.2116292715072632e+00    -1.2575991153717041e+00
7.1175099262876804e+00    1.1876245737075806e+00    1.2292965650558472e+00    -1.0182729959487915e+00
7.4185399219516617e+00    1.1876245737075806e+00    1.2452706098556519e+00    -8.7765151262283325e-01
7.7195699176156429e+00    1.1876245737075806e+00    1.2743407487869263e+00    -7.0112377405166626e-01
8.0205999132796233e+00    1.1876245737075806e+00    1.2743407487869263e+00    -7.0112377405166626e-01
8.3216299089436045e+00    1.1876245737075806e+00    1.2743407487869263e+00    -7.0112377405166626e-01
8.6226599046075858e+00    1.1876245737075806e+00    1.2743407487869263e+00    -7.0112377405166626e-01
8.9236899002715671e+00    1.1876245737075806e+00    1.2743407487869263e+00    -7.0112377405166626e-01
