# 3D harmonic oscillator
# eigenvalue = 1.499102e+00

#   r       u(r)
0.125000 3.940091e-02
0.250000 7.788132e-02
0.375000 1.145565e-01
0.500000 1.486113e-01
0.625000 1.793302e-01
0.750000 2.061222e-01
0.875000 2.285391e-01
1.000000 2.462862e-01
1.125000 2.592265e-01
1.250000 2.673765e-01
1.375000 2.708954e-01
1.500000 2.700697e-01
1.625000 2.652917e-01
1.750000 2.570361e-01
1.875000 2.458347e-01
2.000000 2.322510e-01
2.125000 2.168561e-01
2.250000 2.002069e-01
2.375000 1.828273e-01
2.500000 1.651936e-01
2.625000 1.477235e-01
2.750000 1.307694e-01
2.875000 1.146154e-01
3.000000 9.947726e-02
3.125000 8.550629e-02
3.250000 7.279427e-02
3.375000 6.138064e-02
3.500000 5.126037e-02
3.625000 4.239228e-02
3.750000 3.470725e-02
3.875000 2.811577e-02
4.000000 2.251485e-02
4.125000 1.779374e-02
4.250000 1.383853e-02
4.375000 1.053558e-02
4.500000 7.773571e-03
4.625000 5.444381e-03
4.750000 3.442582e-03
4.875000 1.663556e-03
